Event,Team,Had pneumatics,Robot weight,Total weight,Red bumper weight,Blue bumper weight
2024alhu,34,FALSE,85.5,85.5,10.7,10.8
2024alhu,120,FALSE,115.5,115.5,11.5,11.5
2024alhu,323,FALSE,83.6,83.6,11.2,11.5
2024alhu,538,FALSE,98.9,112.9,14,14
2024alhu,547,FALSE,59.4,59.4,12.4,12.4
2024alhu,931,FALSE,98.5,98.5,9.9,9.9
2024alhu,1466,FALSE,93.3,93.3,10.4,9.6
2024alhu,2393,TRUE,119.6,119.6,11.5,11.8
2024alhu,2481,TRUE,100.4,100.4,10.4,9.4
2024alhu,2638,FALSE,119.2,119.2,11.7,10.6
2024alhu,2973,FALSE,78.7,78.7,10.4,10.7
2024alhu,3139,FALSE,64.4,64.4,13,12.2
2024alhu,3140,FALSE,110.6,110.6,11.7,12
2024alhu,3824,FALSE,123.5,123.5,11.7,11.4
2024alhu,3959,FALSE,82.1,82.1,11.1,10.1
2024alhu,3966,FALSE,88.2,88.2,12.7,12.6
2024alhu,3984,FALSE,101.4,101.4,11.5,11.5
2024alhu,4020,FALSE,93.5,93.5,11.2,12.6
2024alhu,4256,FALSE,111.6,111.6,14.9,14.9
2024alhu,4265,TRUE,124.8,124.8,11.9,11.9
2024alhu,4306,FALSE,101.1,101.1,9.8,11.2
2024alhu,4499,FALSE,123.3,123.3,12.4,12.3
2024alhu,4635,FALSE,119.9,119.9,13.1,14.1
2024alhu,5002,FALSE,109.4,109.4,11.5,10.2
2024alhu,5005,TRUE,98.1,98.1,12.1,12
2024alhu,5045,FALSE,78.5,78.5,11.7,11
2024alhu,5410,FALSE,113.2,113.2,13.7,13.7
2024alhu,5557,FALSE,113.7,113.7,13,12.8
2024alhu,5800,FALSE,97.2,97.2,12.5,12.4
2024alhu,6107,FALSE,83.9,83.9,9.8,9.8
2024alhu,6404,FALSE,90.9,90.9,10.3,10.3
2024alhu,6517,FALSE,113.6,113.8,10.9,10.8
2024alhu,6652,FALSE,91.9,91.9,9.8,9.8
2024alhu,7111,FALSE,94.6,94.6,14.2,14.2
2024alhu,7717,FALSE,93,93,11.4,11.4
2024alhu,7725,FALSE,100.5,100.5,12.5,12.5
2024alhu,8624,FALSE,46.5,46.5,10.5,10.5
2024alhu,8772,FALSE,70,70,11.2,10.9
2024alhu,8773,FALSE,55.6,42.3,11.7,12.1
2024alhu,8841,TRUE,116.1,116.1,12.2,12.2
2024alhu,9067,FALSE,89.2,89.2,13.1,13
2024alhu,9073,FALSE,66,66,10.8,10.8
2024alhu,9435,FALSE,101.3,101.3,11.4,11.4
2024alhu,9476,FALSE,59.6,59.6,11.7,11.8
2024alhu,9590,FALSE,58.1,58.1,14.6,14.9
2024alhu,9702,FALSE,81.7,81.7,13.7,13.7
2024alhu,9787,TRUE,96.5,96.5,8.9,8.9
2024azgl,8,FALSE,119.7,129.2,9.5,9.6
2024azgl,294,FALSE,111.2,111.2,11,11.7
2024azgl,498,FALSE,124.4,124.4,11,11.1
2024azgl,670,FALSE,123.9,123.9,11.4,11.4
2024azgl,698,FALSE,121.1,132.5,13.1,11.4
2024azgl,1165,FALSE,124,124,13.1,13.1
2024azgl,1212,FALSE,88,,13.7,13.7
2024azgl,1726,TRUE,98.6,98,8.4,8.4
2024azgl,1828,FALSE,72.7,72.7,12.6,12.6
