Event, Team, Robot weight, Red bumper weight, Blue bumper weight
2025alhu, 34, 103.6, 10.1, 10.2
2025alhu, 48, 110.9, 13.8, 13.4
2025alhu, 144, 114.6, 14.5, 14.8
2025alhu, 325, 114.2, 14.5, 14.4
2025alhu, 432, 111, 19.2, 11
2025alhu, 538, 91.6, 13.6, 13.6
2025alhu, 744, 107, 13.9, 13.3
2025alhu, 1038, 114.2, 19.5, 19.4
2025alhu, 2190, 106, 10.5, 10.5
2025alhu, 2220, 113.9, 21, 20.8
2025alhu, 2338, 108.2, 11.4, 11.4
2025alhu, 2502, 115, 16, 16
2025alhu, 2783, 114.3, 14.7, 14.7
2025alhu, 2973, 114.3, 11.9, 12
2025alhu, 3058, 115, 15, 15.2
2025alhu, 3138, 92.5, 12.2, 12
2025alhu, 3140, 112.7, 12.1, 12.1
2025alhu, 3468, 109.6, 11.4, 11.7
2025alhu, 3630, 102.7, 19.7, 20.2
2025alhu, 3814, 109, 16, 16.5
2025alhu, 3824, 114.1, 11.9, 11.1
2025alhu, 3843, 114.7, 16.8, 16.8
2025alhu, 3959, 104, 11.9, 11.5
2025alhu, 3966, 89.5, 13.7, 13.5
2025alhu, 4020, 113, 8.7, 8.8
2025alhu, 4028, 114.7, 18.4, 18.1
2025alhu, 4265, 113.2, 19.2, 18
2025alhu, 4601, 106.1, 11.3, 12.6
2025alhu, 5005, 115, 12.9, 11.9
2025alhu, 5045, 62.7, 11, 9.8
2025alhu, 5125, 87.2, 9.3, 9.8
2025alhu, 6107, 75.7, 8.1, 10.6
2025alhu, 6302, 105.4, 10.5, 10.5
2025alhu, 6517, 107.6, 14.4, 14.2
2025alhu, 7072, 108.4, 14, 13.6
2025alhu, 7111, 108, 19.9, 19.5
2025alhu, 7428, 114.5, 8.3, 7.6
2025alhu, 7725, 93.5, 17.9, 17.9
2025alhu, 8624, 74.4, 11.1, 11.1
2025alhu, 8772, 60.7, 13.7, 13.7
2025alhu, 9097, 111.1, 20.1, 20.1
2025alhu, 9410, 113.8, 11.2, 11.2
2025alhu, 9590, 79.9, 10.1, 10.2
